id,source_url,in_reply_to_user_id,source,in_reply_to_status_id,in_reply_to_user_id_str,favorite_count,id_str,lang,in_reply_to_screen_name,in_reply_to_status_id_str,retweet_count,text,user,author
1.32476E+18,http://www.socialflow.com,,SocialFlow,,,4636,1324756382973874177,en,,,1148,Actor Johnny Depp quits cast of Fantastic Beasts film franchise after losing libel case over claims he beat ex-wife… https://t.co/L6Nw8sY4rC,BBCBreaking,BBCBreaking
1.32471E+18,http://www.socialflow.com,,SocialFlow,,,7823,1324708359371694080,en,,,1460,"Actor Geoffrey Palmer, who starred in British sitcoms Butterflies and As Time Goes By in TV career spanning seven d… https://t.co/8BLfju6Dpm",BBCBreaking,BBCBreaking
1.32453E+18,http://www.socialflow.com,,SocialFlow,,,1496,1324530301884899331,en,,,401,"Passengers arriving in the UK from 04:00 GMT on Friday will need to self-isolate for 14 days, the government says https://t.co/YvUgizl4jH",BBCBreaking,BBCBreaking
1.32451E+18,http://www.socialflow.com,,SocialFlow,,,7718,1324505993221472259,en,,,1138,"Donald Trump accuses political rivals of trying to “steal” the election, without any credible evidence

Votes are s… https://t.co/92zib2wf5g",BBCBreaking,BBCBreaking
1.32433E+18,http://www.socialflow.com,,SocialFlow,,,1582,1324327410633003008,en,,,359,UK Chancellor Rishi Sunak extends furlough scheme until the end of March https://t.co/AWRCgIEB5b,BBCBreaking,BBCBreaking
1.32426E+18,http://www.socialflow.com,,SocialFlow,,,1602,1324257870477746177,en,,,660,"UK supermarket chain Sainsbury's to cut 3,500 jobs with closure of meat, fish and deli counters and 420 Argos stores https://t.co/D2D5ZolMnU",BBCBreaking,BBCBreaking
1.32411E+18,http://www.socialflow.com,,SocialFlow,,,11324,1324109707309703174,en,,,1207,"Joe Biden projected to win Michigan, taking his electoral college total to 243

#Election2020… https://t.co/jhTV6rzO8V",BBCBreaking,BBCBreaking
1.32387E+18,http://www.socialflow.com,,SocialFlow,,,2834,1323874350152454145,en,,,337,Donald Trump projected to win Texas - Joe Biden had been hoping to claim an historic victory in the state… https://t.co/DhM4z6lhde,BBCBreaking,BBCBreaking
1.32386E+18,http://www.socialflow.com,,SocialFlow,,,2080,1323863846902243331,en,,,265,"Donald Trump projected to win Florida – key battleground state where result was uncertain

#Election2020… https://t.co/HhPnMlAFH4",BBCBreaking,BBCBreaking
1.32366E+18,http://www.socialflow.com,,SocialFlow,,,7662,1323659834579996672,en,,,3089,"UK terrorism threat level raised to severe, meaning an attack is highly likely

https://t.co/EW0AdSm2V0 https://t.co/D2TAR1BhD8",BBCBreaking,BBCBreaking
1.32321E+18,http://www.socialflow.com,,SocialFlow,,,2282,1323207172889714693,en,,,553,"Actor Johnny Depp loses libel case against the Sun newspaper after the tabloid described him as a ""wife-beater"" https://t.co/zGhANsRdxQ",BBCBreaking,BBCBreaking
1.32305E+18,http://www.socialflow.com,,SocialFlow,,,4251,1323045357455089671,en,,,1365,"Prince William contracted Covid-19 in April at a similar time to his father Prince Charles, palace sources tell BBC https://t.co/SScudU94W7",BBCBreaking,BBCBreaking
1.32266E+18,http://www.socialflow.com,,SocialFlow,,,2039,1322661371721515008,en,,,186,"England win Six Nations, after France beat Ireland on final day of delayed rugby union tournament https://t.co/EoTANizQUB",BBCBreaking,BBCBreaking
1.32262E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,10377,1322618362212634625,en,,,4847,"“From Thursday until the start of December you must stay at home, you may only leave home for specific reasons”

Bo… https://t.co/f6NrVuoJtn",BBCBreaking,BBCBreaking
1.32257E+18,http://www.socialflow.com,,SocialFlow,,,5318,1322572709327458306,en,,,2122,"UK PM Boris Johnson is set to announce lockdown measures lasting a month in England, sources have told the BBC https://t.co/D2ye3aqz5G",BBCBreaking,BBCBreaking
1.32252E+18,https://about.twitter.com/products/tweetdeck,5402612,TweetDeck,1.32252E+18,5402612,15480,1322518948714262528,en,BBCBreaking,1322515886884966401,4036,"Obituary: Sir Sean Connery, the award-winning actor who will be forever identified with 007 https://t.co/rzvL70uenx",BBCBreaking,BBCBreaking
1.32252E+18,http://www.socialflow.com,,SocialFlow,,,157251,1322515886884966401,en,,,54874,"Sir Sean Connery, the actor who defined James Bond, has died aged 90 https://t.co/Z3vsV0CJ96",BBCBreaking,BBCBreaking
1.32221E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1322208071616241667,en,,,376,"RT @BBCSport: World Cup-winning England midfielder Nobby Stiles has died aged 78.

More: https://t.co/umDWUXZ3bv https://t.co/oQqesOx6wA",BBCBreaking,BBCBreaking
1.32215E+18,http://www.socialflow.com,,SocialFlow,,,3832,1322152190274883584,en,,,1825,"Earthquake with a magnitude of 7.0 shakes Greek island of Samos and Turkey's Aegean coast, US Geological Survey say… https://t.co/1x5pOkiYiI",BBCBreaking,BBCBreaking
1.32199E+18,http://www.socialflow.com,,SocialFlow,,,15427,1321987913253572613,en,,,1799,"New Zealand votes to legalise euthanasia for terminally ill people, preliminary referendum results show https://t.co/q5qWtZgV4R",BBCBreaking,BBCBreaking
1.32188E+18,http://www.socialflow.com,,SocialFlow,,,900,1321877972756955137,en,,,316,West Yorkshire to be placed under strictest level of Covid restrictions from Monday https://t.co/BNDdlMjzKo,BBCBreaking,BBCBreaking
1.3218E+18,http://www.socialflow.com,,SocialFlow,,,5149,1321803761413664768,en,,,1341,Labour Party suspends former leader Jeremy Corbyn following his response to report into anti-Semitism within the pa… https://t.co/kwkMsETE7G,BBCBreaking,BBCBreaking
1.32176E+18,http://www.socialflow.com,,SocialFlow,,,2254,1321755395975794689,en,,,734,"UK's Labour Party was responsible for anti-Semitic discrimination and broke human equality laws, human rights watch… https://t.co/SmF1iE1cBS",BBCBreaking,BBCBreaking
1.32175E+18,http://www.socialflow.com,,SocialFlow,,,2142,1321750406087757830,en,,,965,"Two women dead and man in critical condition following knife attack in Nice, France, in what is being described as… https://t.co/jKjSijxzaD",BBCBreaking,BBCBreaking
1.32175E+18,http://www.socialflow.com,,SocialFlow,,,6298,1321748884809568256,en,,,1029,Cannon &amp; Ball star Bobby Ball dies aged 76 after testing positive for Covid-19 https://t.co/tx7fojINOw,BBCBreaking,BBCBreaking
